manufacturer;product;HP-Type;compressor type;refrigerant;source composition;load composition;pressure source;pressure load;compute source;flow type source;flow type load
eltron_stiebel;WPL_10;w-w;scroll;R410a;INCOMP::AN[0.2];water;301325;201325;0;kg/s;kg/s
HP-Data;;;;;;;;;;;
Time Stamp;m_s;m_l;T_s;T_l;q_source;q_load;w_el;comment;;;
;0.46;0.31;-5;35;;8.8225;;;;;
;0.46;0.31;-4;35;;9.0832;;;;;
;0.46;0.31;-3;35;;9.3469;;;;;
;0.46;0.31;-2;35;;9.6136;;;;;
;0.46;0.31;-1;35;;9.8833;;;;;
;0.46;0.31;0;35;;10.156;;;;;
;0.46;0.31;1;35;;10.4317;;;;;
;0.46;0.31;2;35;;10.7104;;;;;
;0.46;0.31;3;35;;10.9921;;;;;
;0.46;0.31;4;35;;11.2768;;;;;
;0.46;0.31;5;35;;11.5645;;;;;
;0.46;0.31;6;35;;11.8552;;;;;
;0.46;0.31;7;35;;12.1489;;;;;
;0.46;0.31;8;35;;12.4456;;;;;
;0.46;0.31;9;35;;12.7453;;;;;
;0.46;0.31;10;35;;13.048;;;;;
;0.46;0.31;11;35;;13.3537;;;;;
;0.46;0.31;12;35;;13.6624;;;;;
;0.46;0.31;13;35;;13.9741;;;;;
;0.46;0.31;14;35;;14.2888;;;;;
;0.46;0.31;15;35;;14.6065;;;;;
;0.46;0.31;16;35;;14.9272;;;;;
;0.46;0.31;17;35;;15.2509;;;;;
;0.46;0.31;18;35;;15.5776;;;;;
;0.46;0.31;19;35;;15.9073;;;;;
;0.46;0.31;20;35;;16.24;;;;;
;0.46;0.31;-5;45;;8.341;;;;;
;0.46;0.31;-4;45;;8.5932;;;;;
;0.46;0.31;-3;45;;8.8464;;;;;
;0.46;0.31;-2;45;;9.1006;;;;;
;0.46;0.31;-1;45;;9.3558;;;;;
;0.46;0.31;0;45;;9.612;;;;;
;0.46;0.31;1;45;;9.8692;;;;;
;0.46;0.31;2;45;;10.1274;;;;;
;0.46;0.31;3;45;;10.3866;;;;;
;0.46;0.31;4;45;;10.6468;;;;;
;0.46;0.31;5;45;;10.908;;;;;
;0.46;0.31;6;45;;11.1702;;;;;
;0.46;0.31;7;45;;11.4334;;;;;
;0.46;0.31;8;45;;11.6976;;;;;
;0.46;0.31;9;45;;11.9628;;;;;
;0.46;0.31;10;45;;12.229;;;;;
;0.46;0.31;11;45;;12.4962;;;;;
;0.46;0.31;12;45;;12.7644;;;;;
;0.46;0.31;13;45;;13.0336;;;;;
;0.46;0.31;14;45;;13.3038;;;;;
;0.46;0.31;15;45;;13.575;;;;;
;0.46;0.31;16;45;;13.8472;;;;;
;0.46;0.31;17;45;;14.1204;;;;;
;0.46;0.31;18;45;;14.3946;;;;;
;0.46;0.31;19;45;;14.6698;;;;;
;0.46;0.31;20;45;;14.946;;;;;
;0.46;0.31;-5;55;;7.8547;;;;;
;0.46;0.31;-4;55;;8.1158;;;;;
;0.46;0.31;-3;55;;8.3773;;;;;
;0.46;0.31;-2;55;;8.6392;;;;;
;0.46;0.31;-1;55;;8.9015;;;;;
;0.46;0.31;0;55;;9.1642;;;;;
;0.46;0.31;1;55;;9.4273;;;;;
;0.46;0.31;2;55;;9.6908;;;;;
;0.46;0.31;3;55;;9.9547;;;;;
;0.46;0.31;4;55;;10.219;;;;;
;0.46;0.31;5;55;;10.4837;;;;;
;0.46;0.31;6;55;;10.7488;;;;;
;0.46;0.31;7;55;;11.0143;;;;;
;0.46;0.31;8;55;;11.2802;;;;;
;0.46;0.31;9;55;;11.5465;;;;;
;0.46;0.31;10;55;;11.8132;;;;;
;0.46;0.31;11;55;;12.0803;;;;;
;0.46;0.31;12;55;;12.3478;;;;;
;0.46;0.31;13;55;;12.6157;;;;;
;0.46;0.31;14;55;;12.884;;;;;
;0.46;0.31;15;55;;13.1527;;;;;
;0.46;0.31;16;55;;13.4218;;;;;
;0.46;0.31;17;55;;13.6913;;;;;
;0.46;0.31;18;55;;13.9612;;;;;
;0.46;0.31;19;55;;14.2315;;;;;
;0.46;0.31;20;55;;14.5022;;;;;
;0.46;0.31;-5;65;;7.3156;;;;;
;0.46;0.31;-4;65;;7.5389;;;;;
;0.46;0.31;-3;65;;7.7658;;;;;
;0.46;0.31;-2;65;;7.9963;;;;;
;0.46;0.31;-1;65;;8.2304;;;;;
;0.46;0.31;0;65;;8.4681;;;;;
;0.46;0.31;1;65;;8.7094;;;;;
;0.46;0.31;2;65;;8.9543;;;;;
;0.46;0.31;3;65;;9.2028;;;;;
;0.46;0.31;4;65;;9.4549;;;;;
;0.46;0.31;5;65;;9.7106;;;;;
;0.46;0.31;6;65;;9.9699;;;;;
;0.46;0.31;7;65;;10.2328;;;;;
;0.46;0.31;8;65;;10.4993;;;;;
;0.46;0.31;9;65;;10.7694;;;;;
;0.46;0.31;10;65;;11.0431;;;;;
;0.46;0.31;11;65;;11.3204;;;;;
;0.46;0.31;12;65;;11.6013;;;;;
;0.46;0.31;13;65;;11.8858;;;;;
;0.46;0.31;14;65;;12.1739;;;;;
;0.46;0.31;15;65;;12.4656;;;;;
;0.46;0.31;16;65;;12.7609;;;;;
;0.46;0.31;17;65;;13.0598;;;;;
;0.46;0.31;18;65;;13.3623;;;;;
;0.46;0.31;19;65;;13.6684;;;;;
;0.46;0.31;20;65;;13.9781;;;;;
