manufacturer;product;HP-Type;compressor type;refrigerant;source composition;load composition;pressure source;pressure load;compute source;flow type source;flow type load
eltron_stiebel;WPL_10;w-w;scroll;R410a;INCOMP::AN[0.2];water;301325;201325;0;l/s;l/s
HP-Data;;;;;;;;;;;
Time Stamp;m_s;m_l;T_s;T_l;q_source;q_load;w_el;comment;;;
22.05.2019 03:04:07.131 PM;0.448153804;0.308679806;0.308590592;34.54468985;8.047113344;9.436744383;2.312999964;;;;
22.05.2019 04:20:50.239 PM;0.451073476;0.312057742;-0.369365961;45.26201186;7.021627415;9.30169407;2.878000021;;;;
22.05.2019 02:49:05.152 PM;0.450384564;0.311131269;10.14835021;33.86189826;10.94872742;11.72698683;2.269999981;;;;
22.05.2019 03:46:59.182 PM;0.454714864;0.307597554;10.2042012;42.62122016;9.864345679;11.55777171;2.809999943;;;;
22.05.2019 02:32:09.110 PM;0.450515786;0.306523502;19.74364024;35.58051839;13.83607597;15.17264956;2.242000103;;;;
22.05.2019 03:31:18.170 PM;0.458946748;0.309639074;20.30713676;42.67707659;13.19164833;14.52075705;2.805999994;;;;
22.05.2019 03:09:27.145 PM;0.447579711;0.308737198;-0.562400615;35.05763952;7.732881971;9.605707537;2.336999893;;;;
22.05.2019 04:17:16.229 PM;0.445414562;0.308991363;-0.144765783;44.97140199;6.7316815;8.396124192;2.986000061;;;;
22.05.2019 02:56:02.145 PM;0.454977306;0.313722114;10.3820378;35.0008296;11.00738438;12.16607386;2.306999922;;;;
22.05.2019 03:53:29.198 PM;0.463719919;0.314542001;10.18164593;41.63154425;9.852871856;11.74656965;2.822999954;;;;
22.05.2019 02:36:31.121 PM;0.44776014;0.309942433;19.50740836;35.09997812;13.38296962;15.42074109;2.209000111;;;;
22.05.2019 03:38:18.160 PM;0.454747669;0.310508155;20.34664228;43.91310284;13.01713776;14.44644887;2.812999964;;;;
